ID,Name,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,Style
282,Original,Jacob Leinenkugel Brewing Company,Jacob Leinenkugel Brewing Company Leinenkugel's Original,Notes:,4.6,8.0,18.0,17.0,28.0,4.0,29.0,,9.0,4.0,5.0,42.0,3.0,43.0,2.742424,3.060606,2.960606,2.978788,3.275758,165.0,6
183,Lucifer,Brouwerij Het Anker,Brouwerij Het Anker Lucifer,Notes:,8.0,20.0,,10.0,24.0,28.0,28.0,70.0,43.0,1.0,42.0,9876.0,15.0,31.0,3.776119,4.029851,3.768657,3.791045,3.843284,67.0,0
139,Victor Ale,Allagash Brewing Company,Allagash Brewing Company Allagash Victor Ale,"Notes:The Victor Ale was inspired by its feminine-named predecessor, the Victoria Ale. With chardonnay grapes to make the Victoria Ale unique, our brewers decided to use red grapes for the Victor. Over one hundred pounds of cabernet franc grapes were crushed on site and added directly to the mash. In addition to a generous portion of Pilsner malt, Victor is hopped with Fuggles and Hallertau and fermented with a wine yeast strain. With a focus on the subtle wine-like character of the grapes, the 9.0% ABV brew maintains a copper color, wine yeast influence and a medium body with a tart and spicy finish.\t",9.0,20.0,9876.0,24.0,35.0,12.0,16.0,109.0,64.0,1.0,78.0,26.0,15.0,39.0,3.865079,3.924603,3.960317,3.884921,3.813492,126.0,0
179,Budweiser,Anheuser-Busch,Anheuser-Busch Budweiser,"Notes:Brewed using a blend of imported and classic American aroma hops, and a blend of barley malts and rice. Budweiser is brewed with time-honored methods including “kraeusening” for natural carbonation and Beechwood aging, which results in unparalleled balance and character.\t",5.0,8.0,18.0,6.0,17.0,4.0,15.0,16.0,10.0,0.0,6.0,15.0,3.0,50.0,2.189644,2.516476,2.4731,2.420309,2.883995,1487.0,6
463,Pilsener,Browerij Nacional Balashi,Browerij Nacional Balashi Balashi,"Notes:The beer has a deep golden color totally clear and transparent, with a bitterness which is soft to the tongue and nose however with an aroma of fresh hops, a short aftertaste and easy on foam. The combination of all feels fresh and smooth to the mouth when cold, perfect for Aruba's hot climate.\t",5.0,18.0,25.0,26.0,23.0,1.0,,35.0,14.0,1.0,10.0,21.0,1.0,50.0,2.634921,2.97619,3.055556,2.952381,3.333333,63.0,1
102,Brunette Nut Brown Ale,Nebraska Brewing Company,Nebraska Brewing Company NBC Brunette Nut Brown Ale,Notes:Our version of the classic English-style Brown Ale has a blend of six different malts and a hop schedule that results in a low hop character. The unique malt character brings to mind the taste of a blend of various nuts.15 IBU\t,4.8,15.0,25.0,13.0,55.0,2.0,25.0,64.0,13.0,1.0,21.0,28.0,2.0,9876.0,3.125,3.5,3.0,3.0,3.25,9876.0,4
172,Adnams Bitter,"Adnams plc, Sole Bay Brewery","Adnams plc, Sole Bay Brewery Adnams Bitter",Notes:,4.1,20.0,35.0,18.0,60.0,10.0,,63.0,42.0,0.0,39.0,109.0,13.0,90.0,3.522727,3.897727,3.738636,3.795455,3.852273,44.0,3
539,Downtown Brown,Lost Coast Brewery and Cafe,Lost Coast Brewery and Cafe Downtown Brown,Notes:,,15.0,25.0,4.0,36.0,2.0,15.0,48.0,7.0,0.0,11.0,13.0,1.0,78.0,3.57265,3.69943,3.552707,3.685185,3.801994,351.0,4
248,Chez Monieux,Alpine Beer Company,Alpine Beer Company Chez Monieux,Notes:,5.8,15.0,21.0,35.0,50.0,6.0,0.0,43.0,134.0,0.0,85.0,7.0,7.0,11.0,3.969388,3.785714,3.877551,4.05102,4.071429,49.0,13
245,Turbodog,Abita Brewing Co.,Abita Brewing Co. Turbodog,"Notes:Turbodog is a dark brown ale brewed with Willamette hops and a combination of pale, crystal and chocolate malts. This combination gives Turbodog its rich body and color and a sweet chocolate toffee-like flavor. Turbodog began as a specialty ale but has gained a huge loyal following and has become one of our flagship brews.28 IBU\t",5.6,15.0,25.0,9876.0,53.0,5.0,49.0,75.0,8.0,0.0,20.0,9876.0,11.0,118.0,3.515964,3.836374,,3.645382,3.706956,9876.0,4
521,Revelation Stout,Public House Brewing Company,Public House Brewing Company Revalations Stout,"Notes:Mmmmm....Revelations indeed. Black as midnight. Heavy on the soul. Think you don't like Stout? Try this one.Think you don't like any kind of beer? Try this one.We can't tell you how many times we've heard both declarations from the mouths of our customers and low and behold....they try this beer and are saved from a life of bad beer or no beer at all. Can I get a witness?Lift a glass of this dry stout up to your nose and breathe in the decadent aroma of dark chocolate emanating from the creamy off-white to tan-colored head. Take a sip and feel the familiar warmth of roasted coffee that goes down smooth. A lighter body than your average stout makes this one a house favorite--our best-selling beer, in fact. So throw off your shackles! Come to the House of the PourAnd you just might find salvationIn a glass of Revelations!\t",5.0,30.0,40.0,29.0,90.0,10.0,43.0,47.0,0.0,0.0,0.0,27.0,10.0,100.0,4.0,4.166667,4.0,4.0,4.333333,3.0,5
