Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,acidity,calculated_structure_count,intensity,sweetness,tannin,user_structure_count,vintage_type,has_valid_ratings,is_natural
Cambria,2013,1941096,Syrah Tepusquet Vineyard 2013,4.0,266,22.5,United States,Santa Maria Valley,3.059836,158.0,4.4203634,1.4351106,3.4905412,15.0,0,True,False
Atalon,2011,1510285,Pauline's Cuvée 2011,4.0,367,29.9,United States,Napa Valley,3.875921,214.0,4.7526164,1.5865717,3.45877,23.0,0,True,False
Herdade do Rocim,2016,2865433,Reserva Tinto 2016,3.8,65,19.5,Portugal,Alentejano,3.0473552,20.0,4.360766,1.8483765,3.2341316,166.0,0,True,False
Post House,2018,1159305,Blueish Black 2018,4.0,105,12.707761085301511,South Africa,Coastal Region,,,,,,,0,True,False
Castello di Meleto,2016,5420713,Camboi 2016,4.0,67,48.71908604781621,Italy,Toscana,3.0276628,1.0,3.4108667,1.1614705,2.8091798,44.0,0,True,False
Tenute Ca' Botta,2019,5956174,Rubicondo 2019,4.1,127,10.58944785221241,Italy,Rosso Veronese,2.1852243,50.0,3.7278748,2.4351904,2.7100933,63.0,0,True,False
Allesverloren,2015,73610,Shiraz 2015,3.6,842,24.5,South Africa,Swartland,3.3427927,427.0,4.3243923,1.641886,3.1600916,220.0,0,True,False
Beyerskloof,2004,1750925,Field Blend 2004,4.0,32,26.5,South Africa,Stellenbosch,3.6149855,93.0,4.014787,1.6664168,3.3644679,75.0,0,True,False
Beyerskloof,2019,6802242,Winemakers Reserve 2019,4.5,26,26.4,South Africa,Stellenbosch,3.024513,23.0,4.1462307,1.7575897,3.0534105,10.0,0,True,False
Contucci,2020,18189,Rosso di Montepulciano 2020,3.6,29,13.0,Italy,Rosso di Montepulciano,3.183551,32.0,2.9626775,1.6031464,3.2020423,70.0,0,True,False
Guttarolo,2019,5317458,Joha 2019,4.1,68,22.0,Italy,Puglia,2.0315254,5.0,4.0220337,2.6489832,2.5957625,2.0,0,True,True
Bloemendal,2017,2592551,Waterlily Pinotage 2017,3.4,28,9.5,South Africa,Durbanville,2.885497,19.0,4.050468,1.1265789,3.0698538,11.0,0,True,False
Beyerskloof,2019,1777029,Cabernet Sauvignon - Merlot 2019,3.7,91,9.2,South Africa,Coastal Region,3.4140184,126.0,3.9129052,1.8191745,3.337383,57.0,0,True,False
Johann Gisperg,2016,5822115,Pinot Noir Reserve 2016,4.2,26,25.20792747376029,Austria,Thermenregion,4.219562,4.0,2.0973723,1.0917518,2.1456206,6.0,0,True,False
Keringer,2017,2627168,Commander 2017,4.1,256,11.65072278199005,Austria,Burgenland,,,,,,,0,True,False
Maria Reumann,2012,1605583,Phoenix 2012,4.1,48,13.55720469177024,Austria,Mittelburgenland,,,,,,,0,True,False
Dard & Ribo,2020,1311758,C'est Le Printemps Crozes-Hermitage 2020,4.0,69,33.0,France,Crozes-Hermitage,3.2018182,57.0,3.8129313,1.64705,3.2079592,6.0,0,True,True
Keringer,2015,2627168,Commander 2015,4.1,206,26.47891541361375,Austria,Burgenland,,,,,,,0,True,False
Maria Reumann,2017,1605416,Vinum Sine Nomine 2017,4.1,30,40.03612010538399,Austria,Mittelburgenland,,,,,,,0,True,False
Weingut Toni Hartl,2013,2755169,Syrah 2013,4.2,48,29.44455393993849,Austria,Burgenland,,,,,,,0,True,False
Weingut Toni Hartl,2014,4930942,Goldberg Pinot Noir 2014,4.0,28,29.44455393993849,Austria,Thermenregion,4.3193693,5.0,1.9477477,1.4324324,1.9863063,1.0,0,True,False
Keringer,2018,1581632,Shiraz 100 Days 2018,4.3,105,22.24228894743555,Austria,Neusiedlersee,,,,,,,0,True,False
Domaine Autrand,2020,1302866,Côtes-du-Rhône-Villages 2020,3.9,30,8.95,France,Côtes-du-Rhône-Villages,3.5415905,28.0,3.992266,1.7051852,3.2646623,21.0,0,True,False
Cave du Château de Chenas,2019,2365055,Fleurie 2019,4.0,46,11.2,France,Fleurie,4.598441,65.0,1.2677233,1.5237126,1.8935552,11.0,0,True,False
Château Lauduc,2016,1199493,Classic Bordeaux Rouge 2016,3.4,186,10.15,France,Bordeaux,3.5421205,34.0,3.9772508,1.3730233,3.5456362,48.0,0,True,False
Bloemendal,2017,2592551,Waterlily Pinotage 2017,3.4,28,9.5,South Africa,Durbanville,2.885497,19.0,4.050468,1.1265789,3.0698538,11.0,0,True,False
Beyerskloof,2004,1750925,Field Blend 2004,4.0,32,26.5,South Africa,Stellenbosch,3.6149855,93.0,4.014787,1.6664168,3.3644679,75.0,0,True,False
Beyerskloof,2019,6802242,Winemakers Reserve 2019,4.5,26,26.4,South Africa,Stellenbosch,3.024513,23.0,4.1462307,1.7575897,3.0534105,10.0,0,True,False
Johann Gisperg,2016,5822115,Pinot Noir Reserve 2016,4.2,26,25.20792747376029,Austria,Thermenregion,4.219562,4.0,2.0973723,1.0917518,2.1456206,6.0,0,True,False
Keringer,2017,2627168,Commander 2017,4.1,256,11.65072278199005,Austria,Burgenland,,,,,,,0,True,False
Maria Reumann,2017,1605416,Vinum Sine Nomine 2017,4.1,30,40.03612010538399,Austria,Mittelburgenland,,,,,,,0,True,False
Keringer,2015,2627168,Commander 2015,4.1,206,26.47891541361375,Austria,Burgenland,,,,,,,0,True,False
